PHOTO,DATE,DESC
start-testing-030.png,May 2020,Wrote an <a href="https://www.diogonunes.com/blog/making-an-open-source-testing-course/">e-course about testing</a>
standing-desk.jpg,Apr 2020,Set up a home standing desk + 100% WFH
building20.jpg,Jan 2020,Volunteer @BuildingTheFuture
no-meat.jpg,Jan 2020,Stopped buying meat (mediterranean diet <i class="twa twa-ok-hand"></i>)
gris.png,Dec 2019,Tears of joy playing <a href="https://www.diogonunes.com/blog/10-reasons-why-gris-is-10-out-of-10/">GRIS</a>
gmaps.png,Dec 2019,500k photo views on GMaps
lgw19.jpg,Nov 2019,Volunteer @LisbonGamesWeek
coloring-book.jpg,Oct 2019,Tried a colouring book
origami.jpg,Set 2019,Tried Origami
kendama.jpg,Jul 2019,Tried Kendama
journey.png,Jul 2019,Tears of joy playing Journey
iberanime19-youtuber.jpg,May 2019,Met Fabio Pereira (<i class="twa twa-flag-portugal"></i> <a href="https://www.youtube.com/user/MrArkAlone">Youtuber</a>) @IberAnime
bluehair.jpg,Apr 2019,I dyed my hair blue <i class="twa twa-blue-heart"></i>
hanszimmer.jpg,Apr 2019,Hans Zimmer concert
livropurpose.jpg,Mar 2019,Published an <a href="https://leanpub.com/purpose">ebook</a> about my self-discovery journey
joehisaishi.jpg,Feb 2019,Joe Hisaishi concert <i class="twa twa-smiling-face-with-heart-eyes"></i><i class="twa twa-loudly-crying-face"></i><i class="twa twa-smiling-face-with-heart-eyes"></i>
lyon2.jpg,Feb 2019,Trip to Lyon (France)
soleil-ovo.jpg,Jan 2019,Cirque du Soleil: OVO
card-pyramid.jpg,Dec 2018,Built this pyramid with 84 cards
no-socialnetworks.jpg,Nov 2018,Stopped checking social networks
no-tv.png,Nov 2018,Stopped watching TV/News
no-car.jpg,Nov 2018,Stopped using a car (<i class="twa twa-man-walking"></i><i class="twa twa-bicycle"></i> <i class="twa twa-bus"></i> =<i class="twa twa-green-heart"></i> )
alone-almost.jpg,Nov 2018,Started living alone
dublin.jpg,Oct 2018,Trip to Dublin (Ireland)
soulmate.jpg,Sep 2018,Met my soulmate
comiccon18.jpg,Sep 2018,Volunteer @ComicCon
vr-team.jpg,Jul 2018,VR zombie survival
eurogamer18.jpg,May 2018,Volunteer @Eurogamer
taiko-ondekoza.jpg,May 2018,Taiko concert
eurovision-diogo.jpg,May 2018,Lived to see Eurovision in Portugal
barcamplx18-2.jpg,Apr 2018,Speaker at BarcampLx
indian.jpg,Apr 2018,Tasted Indian food
indiedome17.jpg,Nov 2017,Volunteer @IndieDome
ori2.jpg,Oct 2017,Tears of joy playing Ori
springit17.jpg,Sep 2017,Main stage volunteer @SpringItCon
stickers.jpg,Aug 2017,Covered my laptop with stickers
escape-hunt.jpg,Jul 2017,Tried an Escape Hunt game
abzu3.jpg,Jun 2017,Tears of joy playing Abzu
santos.jpg,Jun 2017,Won best "quadra popular" at work
harrypotter.jpg,May 2017,Harry Potter concert
iberanime2017-group.jpg,May 2017,Main stage volunteer @IberAnime
trello.jpg,Apr 2017,Received swag+love from Trello
testbash-iot.jpg,Mar 2017,Gave a workshop about the Internet of Things
testbash.jpg,Mar 2017,Went to my 1st (testing) conference
overwatch.jpg,Mar 2017,Played an online multiplayer (FPS) game
